"","x"
"1","ENSG00000185966.4"
"2","ENSG00000203786.6"
"3","ENSG00000187180.3"
"4","ENSG00000235942.3"
"5","ENSG00000205076.4"
"6","ENSG00000159516.9"
"7","ENSG00000187223.4"
"8","ENSG00000203782.6"
"9","ENSG00000159455.9"
"10","ENSG00000185962.1"
"11","ENSG00000197084.5"
"12","ENSG00000168703.5"
"13","ENSG00000283227.1"
"14","ENSG00000171711.3"
"15","ENSG00000169509.6"
"16","ENSG00000185479.6"
"17","ENSG00000188293.6"
"18","ENSG00000170465.10"
"19","ENSG00000203785.9"
"20","ENSG00000196734.9"
